track_name,element,album_name,lyric,line
Glass Houses,Intro,Bad Omens,"I see through you, I know what you are",1
Glass Houses,Intro,Bad Omens,I've seen the Devil more than I've seen God,2
Glass Houses,Intro,Bad Omens,"I see through you, I know what you are",3
Glass Houses,Intro,Bad Omens,I've seen the Devil more than I've seen God,4
Glass Houses,Verse 1,Bad Omens,Cover your ears and shut your eyes,5
Glass Houses,Verse 1,Bad Omens,'Cause what I'm about to say is gonna ruin your night,6
Glass Houses,Verse 1,Bad Omens,This is a call-out and I'm not scared to drop some names,7
Glass Houses,Verse 1,Bad Omens,You've dug your grave and you have no one but yourself to blame,8
Glass Houses,Verse 1,Bad Omens,I see the world in black and white,9
Glass Houses,Verse 1,Bad Omens,Because true color always fades under the right lights,10
Glass Houses,Chorus,Bad Omens,"I see through you, I know what you are",11
Glass Houses,Chorus,Bad Omens,I've seen the Devil more than I've seen God,12
Glass Houses,Chorus,Bad Omens,And when He has you by your neck,13
Glass Houses,Chorus,Bad Omens,I hope you choke on every fucking word you said,14
Glass Houses,Verse 2,Bad Omens,You've run out of luck and I'm calling your bluff,15
Glass Houses,Verse 2,Bad Omens,You stabbed me in the back but not deep enough,16
Glass Houses,Verse 2,Bad Omens,But not deep enough,17
Glass Houses,Verse 2,Bad Omens,I see through you,18
Glass Houses,Chorus,Bad Omens,"I see through you, I know what you are",19
Glass Houses,Chorus,Bad Omens,I've seen the Devil more than I've seen God,20
Glass Houses,Chorus,Bad Omens,And when He has you by your neck,21
Glass Houses,Chorus,Bad Omens,I hope you choke on every fucking word you said,22
Glass Houses,Chorus,Bad Omens,"I see through you, I know what you are",23
Glass Houses,Chorus,Bad Omens,I've seen the Devil more than I've seen God,24
Glass Houses,Chorus,Bad Omens,And when He has you by your neck,25
Glass Houses,Chorus,Bad Omens,I hope you choke on every fucking word you said,26
Glass Houses,Bridge,Bad Omens,"You said I'd never make it, you said I'd fall on my face",27
Glass Houses,Bridge,Bad Omens,But now I'm right where I belong and I put you in your place,28
Glass Houses,Bridge,Bad Omens,"You said I'd never make it, you said I'd make a mistake",29
Glass Houses,Bridge,Bad Omens,But now I'm right where I belong and you've got nothing to say,30
Glass Houses,Chorus,Bad Omens,"I see through you, I know what you are",31
Glass Houses,Chorus,Bad Omens,I've seen the Devil more than I've seen God,32
Glass Houses,Chorus,Bad Omens,And when He has you by your neck,33
Glass Houses,Chorus,Bad Omens,I hope you choke on every fucking word you said,34
Glass Houses,Chorus,Bad Omens,"I see through you, I know what you are",35
Glass Houses,Chorus,Bad Omens,I've seen the Devil more than I've seen God,36
Glass Houses,Chorus,Bad Omens,And when He has you by your neck,37
Glass Houses,Chorus,Bad Omens,I hope you choke on every fucking word you said,38
Glass Houses,Outro,Bad Omens,You stabbed me in the back but not deep enough,39
Exit Wounds,Intro,Bad Omens,Dead on the inside,1
Exit Wounds,Verse 1,Bad Omens,Raised by wolves in sheep's clothes that abandoned me,2
Exit Wounds,Verse 1,Bad Omens,But taught me to get up when I fall to my knees,3
Exit Wounds,Verse 1,Bad Omens,"Man makes monster, monster kills man",4
Exit Wounds,Verse 1,Bad Omens,Taking your crown's always been part of the plan,5
Exit Wounds,Verse 1,Bad Omens,If you weren't so stuck in your own head,6
Exit Wounds,Verse 1,Bad Omens,You'd be where I am now instead,7
Exit Wounds,Pre-Chorus,Bad Omens,Nobody's gonna hear you,8
Exit Wounds,Pre-Chorus,Bad Omens,"When you're calling for help, when you're calling for help",9
Exit Wounds,Pre-Chorus,Bad Omens,Nobody's gonna hear you,10
Exit Wounds,Pre-Chorus,Bad Omens,'Cause the sound of my screams are gonna drown you out,11
Exit Wounds,Pre-Chorus,Bad Omens,Drown you out,12
Exit Wounds,Chorus,Bad Omens,"I've learned a lot, but it took me too long",13
Exit Wounds,Chorus,Bad Omens,To find out who I am and to prove you wrong,14
Exit Wounds,Chorus,Bad Omens,How can you live before you die,15
Exit Wounds,Chorus,Bad Omens,When you're already dead on the inside?,16
Exit Wounds,Chorus,Bad Omens,Dead on the inside,17
Exit Wounds,Chorus,Bad Omens,Dead on the inside,18
Exit Wounds,Verse 2,Bad Omens,"If you want an enemy, I'll be the last one that you ever meet",19
Exit Wounds,Verse 2,Bad Omens,But I can tell you now that you don't stand a goddamn chance against me,20
Exit Wounds,Pre-Chorus,Bad Omens,Nobody's gonna hear you,21
Exit Wounds,Pre-Chorus,Bad Omens,"When you're calling for help, when you're calling for help",22
Exit Wounds,Pre-Chorus,Bad Omens,Nobody's gonna hear you,23
Exit Wounds,Pre-Chorus,Bad Omens,'Cause the sound of my screams are gonna drown you out,24
Exit Wounds,Chorus,Bad Omens,I've learned a lot but it took me too long,25
Exit Wounds,Chorus,Bad Omens,To find out who I am and to prove you wrong,26
Exit Wounds,Chorus,Bad Omens,How can you live before you die,27
Exit Wounds,Chorus,Bad Omens,When you're already dead on the inside?,28
Exit Wounds,Bridge,Bad Omens,"Fuck that, fuck this",29
Exit Wounds,Bridge,Bad Omens,If you're gonna burn a bridge,30
Exit Wounds,Bridge,Bad Omens,You better hold your breath and learn to swim,31
Exit Wounds,Bridge,Bad Omens,"Fuck that, fuck this",32
Exit Wounds,Bridge,Bad Omens,If you're gonna burn a bridge,33
Exit Wounds,Bridge,Bad Omens,You better hold your breath and learn to swim,34
Exit Wounds,Chorus,Bad Omens,"I've learned a lot, but it took me too long",35
Exit Wounds,Chorus,Bad Omens,To find out who I am and to prove you wrong,36
Exit Wounds,Chorus,Bad Omens,How can you live before you die,37
Exit Wounds,Chorus,Bad Omens,When you're already dead on the inside?,38
Exit Wounds,Chorus,Bad Omens,"I've learned a lot, but it took me too long",39
Exit Wounds,Chorus,Bad Omens,To find out who I am and to prove you wrong,40
Exit Wounds,Chorus,Bad Omens,How can you live before you die,41
Exit Wounds,Chorus,Bad Omens,When you're already dead on the inside?,42
Exit Wounds,Chorus,Bad Omens,Dead on the inside,43
Exit Wounds,Chorus,Bad Omens,Dead on the inside,44
The Worst in Me,Verse 1,Bad Omens,Is there nothing left to keep myself awake?,1
The Worst in Me,Verse 1,Bad Omens,To keep the walls from caving in,2
The Worst in Me,Verse 1,Bad Omens,When all they ever do is try to bend and break?,3
The Worst in Me,Verse 1,Bad Omens,Is there forgiveness in the end?,4
The Worst in Me,Pre-Chorus,Bad Omens,"I need relief, a failure's coming on",5
The Worst in Me,Pre-Chorus,Bad Omens,"Just breathe in deep, it's taking far too long",6
The Worst in Me,Chorus,Bad Omens,"I had you in my grip, but you're starting to slip",7
The Worst in Me,Chorus,Bad Omens,Bring out the worst in me,8
The Worst in Me,Chorus,Bad Omens,"And now it's come to end, I think I'm giving in",9
The Worst in Me,Chorus,Bad Omens,You set my demons free,10
The Worst in Me,Verse 2,Bad Omens,"It seems no matter where I look, it's always gone",11
The Worst in Me,Verse 2,Bad Omens,"With you, I know I'll never win",12
The Worst in Me,Verse 2,Bad Omens,And it's hard to say where it went so wrong,13
The Worst in Me,Verse 2,Bad Omens,And failed me in the end,14
The Worst in Me,Pre-Chorus,Bad Omens,"I need relief, a failure's coming on",15
The Worst in Me,Pre-Chorus,Bad Omens,"Just breathe in deep, it's taking far too long",16
The Worst in Me,Pre-Chorus,Bad Omens,"I need relief, this weakness carries on",17
The Worst in Me,Pre-Chorus,Bad Omens,"Please, be a dream, or was it all along?",18
The Worst in Me,Chorus,Bad Omens,"I had you in my grip, but you're starting to slip",19
The Worst in Me,Chorus,Bad Omens,Bring out the worst in me,20
The Worst in Me,Chorus,Bad Omens,"And now it's come to end, I think I'm giving in",21
The Worst in Me,Chorus,Bad Omens,You set my demons free,22
The Worst in Me,Bridge,Bad Omens,"It's better when you're with me, but that's better left unsaid",23
The Worst in Me,Bridge,Bad Omens,"It's better when I'm empty, but I still let you in",24
The Worst in Me,Bridge,Bad Omens,"It's better when you're with me, but that's better left unsaid",25
The Worst in Me,Bridge,Bad Omens,"It's better when I'm empty, but I still let you in",26
The Worst in Me,Chorus,Bad Omens,"I had you in my grip, but you're starting to slip",27
The Worst in Me,Chorus,Bad Omens,Bring out the worst in me,28
The Worst in Me,Chorus,Bad Omens,"And now it's come to end, I think I'm giving in",29
The Worst in Me,Chorus,Bad Omens,You set my demons free,30
The Worst in Me,Chorus,Bad Omens,"I had you in my grip, but you're starting to slip",31
The Worst in Me,Chorus,Bad Omens,Bring out the worst in me,32
The Worst in Me,Outro,Bad Omens,"Please, won't you stay for me, don't ever let me be",33
The Worst in Me,Outro,Bad Omens,You set my demons free,34
F E R A L,Verse 1,Bad Omens,"That crooked smile doesn't hide your greed, all of your hypocrisies",1
F E R A L,Verse 1,Bad Omens,I'm gonna tell everyone the truth,2
F E R A L,Verse 1,Bad Omens,Live in denial while your insides bleed and I will keep you company,3
F E R A L,Verse 1,Bad Omens,So I can watch when your world's consumed,4
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,5
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,6
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,7
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,8
F E R A L,Chorus,Bad Omens,Once I've sunk my teeth in,9
F E R A L,Verse 2,Bad Omens,I won't take part in your complacency or words you don't really mean,10
F E R A L,Verse 2,Bad Omens,All that you did was light my fuse,11
F E R A L,Verse 2,Bad Omens,"Soon, you'll be nothing but a memory and I won't keep you company",12
F E R A L,Verse 2,Bad Omens,When everything falls apart for you,13
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,14
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,15
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,16
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,17
F E R A L,Bridge,Bad Omens,I'll take my time with you,18
F E R A L,Bridge,Bad Omens,I'll take my time with you once I've sunk my teeth in,19
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,20
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,21
F E R A L,Chorus,Bad Omens,I was there when it began and I'll be there to watch it end,22
F E R A L,Chorus,Bad Omens,I'll take my time once I've sunk my teeth in,23
F E R A L,Chorus,Bad Omens,Once I've sunk my teeth in,24
"Enough, Enough Now",Verse 1,Bad Omens,The sutures in my head keep getting ripped out,1
"Enough, Enough Now",Verse 1,Bad Omens,These open wounds are the thoughts I can't stop thinking about,2
"Enough, Enough Now",Verse 1,Bad Omens,"Digging for purpose, feelings resurface",3
"Enough, Enough Now",Verse 1,Bad Omens,And involuntarily my system gets nervous,4
"Enough, Enough Now",Verse 1,Bad Omens,Tell me tonight that you'll be by yourself,5
"Enough, Enough Now",Verse 1,Bad Omens,'Cause something bad will happen if you are with someone else,6
"Enough, Enough Now",Verse 1,Bad Omens,"I'm just all fucked up, and I really need your help",7
"Enough, Enough Now",Verse 1,Bad Omens,I really need your help,8
