track_name,element,album_name,lyric,line
Hello?,Intro: Clairo,diary 001,Hello?,1
Hello?,Verse 1: Clairo,diary 001,"Are you into me, like I'm into you?",2
Hello?,Verse 1: Clairo,diary 001,Do you wanna do the things I wanna do with you?,3
Hello?,Verse 1: Clairo,diary 001,"You're so close, and yet so far",4
Hello?,Verse 1: Clairo,diary 001,I wonder how you look when you're in the dark,5
Hello?,Chorus: Clairo,diary 001,"You're just one click away, click away, click away",6
Hello?,Chorus: Clairo,diary 001,"From something real or fake, real or fake, real or fake",7
Hello?,Chorus: Clairo,diary 001,"You're just one click away, click away, click away",8
Hello?,Chorus: Clairo,diary 001,"From something real or fake, real or fake, real or fake",9
Hello?,Verse 2: Rejjie Snow,diary 001,"Played you DOOM, man, you play Drake",10
Hello?,Verse 2: Rejjie Snow,diary 001,You left crumbs all on my face,11
Hello?,Verse 2: Rejjie Snow,diary 001,"Taste like RiRi, taste like Bey",12
Hello?,Verse 2: Rejjie Snow,diary 001,"Bought you Fenty, took his place",13
Hello?,Verse 2: Rejjie Snow,diary 001,Rolled your weed and kissed your face,14
Hello?,Verse 2: Rejjie Snow,diary 001,"Man, wanna smoke you out like all-day",15
Hello?,Verse 2: Rejjie Snow,diary 001,"Man, wanna do a quickie in the hallway, can",16
Hello?,Verse 2: Rejjie Snow,diary 001,"You be all down for the boy, no mass",17
Hello?,Verse 2: Rejjie Snow,diary 001,"Hot jump, skip rope, twenty-three years old",18
Hello?,Verse 2: Rejjie Snow,diary 001,"Made a hundred grand and went broke, I'm an asshole",19
Hello?,Verse 2: Rejjie Snow,diary 001,"Clairo, will you be my real or my fake though?",20
Hello?,Verse 2: Rejjie Snow,diary 001,"Pesos, cashing out checks when I say so",21
Hello?,Verse 2: Rejjie Snow,diary 001,Frame my life and take my soul,22
Hello?,Verse 2: Rejjie Snow,diary 001,"Make me crazy, make me old",23
Hello?,Verse 2: Rejjie Snow,diary 001,"Save me roses, text my phone",24
Hello?,Verse 2: Rejjie Snow,diary 001,"Fake like rappers, fake like jokes",25
Hello?,Verse 2: Rejjie Snow,diary 001,I know,26
Hello?,Chorus: Clairo & Rejjie Snow,diary 001,"You're just one click away, click away, click away",27
Hello?,Chorus: Clairo & Rejjie Snow,diary 001,"From something real or fake, real or fake, real or fake",28
Hello?,Chorus: Clairo & Rejjie Snow,diary 001,"You're just one click away, click away, click away",29
Hello?,Chorus: Clairo & Rejjie Snow,diary 001,"From something real or fake, real or fake, real or fake",30
Flaming Hot Cheetos,Intro,diary 001,Tu-tu-ru-tu-tu,1
Flaming Hot Cheetos,Intro,diary 001,Tu-ru-tu-tu-tu,2
Flaming Hot Cheetos,Intro,diary 001,Tu-tu-ru-tu-tu,3
Flaming Hot Cheetos,Intro,diary 001,Tu-ru-tu-tu-tu,4
Flaming Hot Cheetos,Intro,diary 001,Tu-tu-ru-tu-tu,5
Flaming Hot Cheetos,Intro,diary 001,Tu-ru-tu-tu-tu,6
Flaming Hot Cheetos,Verse 1,diary 001,Sometimes I feel like I just wanna go back to my old ways,7
Flaming Hot Cheetos,Verse 1,diary 001,You're telling me I'm silly,8
Flaming Hot Cheetos,Verse 1,diary 001,It's no fun in the old days,9
Flaming Hot Cheetos,Verse 1,diary 001,I'm such a romantic,10
Flaming Hot Cheetos,Verse 1,diary 001,I never remember how things really happen,11
Flaming Hot Cheetos,Verse 1,diary 001,I guess you're attractive,12
Flaming Hot Cheetos,Verse 1,diary 001,Or something,13
Flaming Hot Cheetos,Verse 2,diary 001,"""Live in the moment""",14
Flaming Hot Cheetos,Verse 2,diary 001,That's what they tell me,15
Flaming Hot Cheetos,Verse 2,diary 001,But what ever happened,16
Flaming Hot Cheetos,Verse 2,diary 001,To when you would hold me,17
Flaming Hot Cheetos,Verse 2,diary 001,And hold me,18
Flaming Hot Cheetos,Verse 2,diary 001,And hold me,19
Flaming Hot Cheetos,Pre-Chorus,diary 001,Girlfriend or girl that's a friend?,20
Flaming Hot Cheetos,Pre-Chorus,diary 001,It's easy just to pretend,21
Flaming Hot Cheetos,Pre-Chorus,diary 001,That we don't have something real,22
Flaming Hot Cheetos,Chorus,diary 001,It's just how we feel,23
Flaming Hot Cheetos,Chorus,diary 001,We feel,24
Flaming Hot Cheetos,Chorus,diary 001,"Oh, it's just how we feel",25
Flaming Hot Cheetos,Chorus,diary 001,How we feel,26
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,27
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,28
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,29
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,30
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,31
Flaming Hot Cheetos,Bridge,diary 001,I'm feeling something right,32
Flaming Hot Cheetos,Verse 3,diary 001,I wanna be the one you think about at night,33
Flaming Hot Cheetos,Verse 3,diary 001,And I wanna be the one that you would put up a fight for,34
Flaming Hot Cheetos,Verse 3,diary 001,You know that I adore,35
Flaming Hot Cheetos,Verse 3,diary 001,That even when you're bored,36
Flaming Hot Cheetos,Verse 3,diary 001,I'd buy you anything and everything I can't afford,37
B.O.M.D.,Verse 1,diary 001,"Stop, wait a minute",1
B.O.M.D.,Verse 1,diary 001,Tell me what you're thinking,2
B.O.M.D.,Verse 1,diary 001,"Baby, I don’t know you so well",3
B.O.M.D.,Verse 1,diary 001,I'll put my heart in it (in it),4
B.O.M.D.,Verse 1,diary 001,Hold me for a minute (minute),5
B.O.M.D.,Verse 1,diary 001,"Baby, I would never lie to you (lie to you)",6
B.O.M.D.,Pre-Chorus 1,diary 001,"Hold me close, tell me why",7
B.O.M.D.,Pre-Chorus 1,diary 001,Put me in your bed at night,8
B.O.M.D.,Pre-Chorus 1,diary 001,I wanna stay here forever,9
B.O.M.D.,Pre-Chorus 1,diary 001,"Hold me close, but don't you lie",10
B.O.M.D.,Pre-Chorus 1,diary 001,Put me in your dreams at night,11
B.O.M.D.,Pre-Chorus 1,diary 001,I shouldn't tell you this,12
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,13
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,14
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,15
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,16
B.O.M.D.,Chorus,diary 001,Of my dreams,17
B.O.M.D.,Verse 2,diary 001,Somedays I try to call,18
B.O.M.D.,Verse 2,diary 001,You never seem to fall for me at all,19
B.O.M.D.,Verse 2,diary 001,"Baby, why you so cold?",20
B.O.M.D.,Verse 2,diary 001,I'm standing at your door,21
B.O.M.D.,Verse 2,diary 001,Don't understand why you ignore my love,22
B.O.M.D.,Verse 2,diary 001,It is so warm for you,23
B.O.M.D.,Pre-Chorus 2,diary 001,And you're the boy of my dreams,24
B.O.M.D.,Pre-Chorus 2,diary 001,It's not so hard to see why you're the one for me,25
B.O.M.D.,Pre-Chorus 2,diary 001,I love you so dearly,26
B.O.M.D.,Pre-Chorus 2,diary 001,You're the boy of my dreams,27
B.O.M.D.,Pre-Chorus 2,diary 001,It's not so hard to see why you're the one for me,28
B.O.M.D.,Pre-Chorus 2,diary 001,I love you so dearly,29
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,30
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,31
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,32
B.O.M.D.,Chorus,diary 001,"You're the boy, you're the boy",33
B.O.M.D.,Chorus,diary 001,You're the boy of my dreams,34
B.O.M.D.,Chorus,diary 001,Of my dreams,35
4EVER,Verse 1,diary 001,Some things just aren't that simple,1
4EVER,Verse 1,diary 001,You called me wondering why I changed,2
4EVER,Verse 1,diary 001,Or why I don't look the same,3
4EVER,Verse 1,diary 001,Why I think so differently now,4
4EVER,Chorus,diary 001,Is it ever gonna change? Am I gonna feel this way forever?,5
4EVER,Chorus,diary 001,Are you gonna be around for me to count on?,6
4EVER,Chorus,diary 001,Is it ever gonna change? Am I gonna feel this way forever?,7
4EVER,Chorus,diary 001,Are you gonna be around for me to count on? Count on,8
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",9
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",10
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",11
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",12
4EVER,Verse 2,diary 001,Some things just never seem to fade,13
4EVER,Verse 2,diary 001,I'm thinking about how we were on our first date,14
4EVER,Verse 2,diary 001,You understood the words I was saying,15
4EVER,Verse 2,diary 001,I knew I'd never let you get away,16
4EVER,Bridge,diary 001,"Hold you tight, squeeze you right, tell you what I want",17
4EVER,Bridge,diary 001,Put me in your bedroom and I'll sing a little song,18
4EVER,Bridge,diary 001,"Hold you tight, squeeze you right, give you all I've got",19
4EVER,Bridge,diary 001,"See you in the morning, over coffee, we'll talk, oh",20
4EVER,Chorus,diary 001,Is it ever gonna change? Am I gonna feel this way forever?,21
4EVER,Chorus,diary 001,Are you gonna be around for me to count on?,22
4EVER,Chorus,diary 001,Is it ever gonna change? Am I gonna feel this way forever?,23
4EVER,Chorus,diary 001,Are you gonna be around for me to count on? Count on,24
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",25
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",26
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",27
4EVER,Chorus,diary 001,"On-on-on, on-on-on-on-on",28
Pretty Girl,Verse 1,diary 001,Polaroid of you dancing in my room,1
Pretty Girl,Verse 1,diary 001,"I want to remember, I think it was about noon",2
Pretty Girl,Verse 1,diary 001,"It's getting harder to understand, to understand",3
Pretty Girl,Verse 1,diary 001,"How you felt in my hands, in my hands",4
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,5
Pretty Girl,Chorus,diary 001,I'll wear a skirt for you,6
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,7
Pretty Girl,Chorus,diary 001,Shut up when you want me to,8
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,9
Pretty Girl,Chorus,diary 001,Won't ever make you blue,10
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,11
Pretty Girl,Chorus,diary 001,I'll lose myself in you,12
Pretty Girl,Verse 2,diary 001,"I was so blinded by you, now I cry",13
Pretty Girl,Verse 2,diary 001,Just thinking 'bout the fool that I was,14
Pretty Girl,Verse 2,diary 001,I was such a fool,15
Pretty Girl,Verse 2,diary 001,I'm alone now but it's better for me,16
Pretty Girl,Verse 2,diary 001,I don't need all your negativity,17
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,18
Pretty Girl,Chorus,diary 001,I'll wear a skirt for you,19
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,20
Pretty Girl,Chorus,diary 001,Shut up when you want me to,21
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,22
Pretty Girl,Chorus,diary 001,I'll never make you blue,23
Pretty Girl,Chorus,diary 001,And I could be a pretty girl,24
How (demo),Verse,diary 001,How did I try to get you off my mind?,1
How (demo),Verse,diary 001,How did I try to get you off my mind?,2
How (demo),Verse,diary 001,Could this be the end,3
How (demo),Verse,diary 001,Of you and I for now?,4
How (demo),Verse,diary 001,Hope that I see you soon,5
How (demo),Verse,diary 001,Don't know what I would do,6
How (demo),Verse,diary 001,My heart is under the weather,7
How (demo),Verse,diary 001,I know that I’m the only one who can heal it,8
How (demo),Verse,diary 001,"I'm on my own, I'm on my own",9
How (demo),Verse,diary 001,"I'm on my own, I'm on my own",10
How (demo),Verse,diary 001,I try to be the strong one for you,11
How (demo),Verse,diary 001,But that's just too hard for anyone to do,12
How (demo),Outro,diary 001,Ooh,13
Alewife,Verse 1,Immunity,In Massachusetts,1
Alewife,Verse 1,Immunity,Only 30 minutes from Alewife,2
Alewife,Verse 1,Immunity,I lay in my room,3
Alewife,Verse 1,Immunity,Wonderin' why I've got this life,4
Alewife,Verse 1,Immunity,I met you by surprise,5
Alewife,Verse 1,Immunity,You were hangin' out all the time,6
Alewife,Verse 1,Immunity,But you know you saved me from doin',7
Alewife,Verse 1,Immunity,Something to myself that night,8
Alewife,Verse 2,Immunity,You called me seven times,9
Alewife,Verse 2,Immunity,"One, two, three, four, on the line",10
Alewife,Verse 2,Immunity,I didn't mean to scare you,11
Alewife,Verse 2,Immunity,Just had the thoughts in my mind,12
Alewife,Verse 2,Immunity,They showed up to my door,13
Alewife,Verse 2,Immunity,My parents didn't know what for,14
Alewife,Verse 2,Immunity,Swear I could've done it,15
Alewife,Verse 2,Immunity,If you weren't there when I hit the floor,16
Alewife,Verse 3,Immunity,It's been so long,17
Alewife,Verse 3,Immunity,And you've been my sister all along,18
Alewife,Verse 3,Immunity,But you know I'll be alright,19
Impossible,Verse: Clairo,Immunity,How are you feeling? How are you doing?,1
Impossible,Verse: Clairo,Immunity,"I'm sorry, I just wanted to hear your voice so clear",2
Impossible,Verse: Clairo,Immunity,What are you thinking? Am I amusing?,3
Impossible,Verse: Clairo,Immunity,It's so strange to talk after all these years,4
Impossible,Verse: Clairo,Immunity,What is the meaning? It's so confusing,5
Impossible,Verse: Clairo,Immunity,All my old feelings coming back to me,6
Impossible,Verse: Clairo,Immunity,When was the last time that I saw your face?,7
Impossible,Verse: Clairo,Immunity,"Know it like the back of my hand, I'd say",8
Impossible,Verse: Clairo,Immunity,And you're not that dumb anymore,9
Impossible,Verse: Clairo,Immunity,I picked up the books you threw to the floor,10
Impossible,Verse: Clairo,Immunity,Put them back on the shelf,11
Impossible,Verse: Clairo,Immunity,Don't you see how much I want your help?,12
Impossible,Chorus: Clairo,Immunity,And I know we're not the same as we were,13
Impossible,Chorus: Clairo,Immunity,"Used to be falling hard, but now it just hurts me so bad",14
Impossible,Chorus: Clairo,Immunity,And you know that I can't hold back,15
Impossible,Chorus: Clairo,Immunity,All of these worries that I have had 'bout you,16
Impossible,Bridge: Clairo & Danielle Haim,Immunity,And I know that it's time,17
Impossible,Bridge: Clairo & Danielle Haim,Immunity,"To forget how I'm feeling, don't want to give in",18
Impossible,Bridge: Clairo & Danielle Haim,Immunity,"But I know, know that it's right",19
Impossible,Bridge: Clairo & Danielle Haim,Immunity,To listen to my breathing and start believing myself,20
Impossible,Bridge: Clairo & Danielle Haim,Immunity,And I know that it's time,21
Impossible,Bridge: Clairo & Danielle Haim,Immunity,"To forget how I'm feeling, don't want to give in",22
Impossible,Bridge: Clairo & Danielle Haim,Immunity,"But I know, know that it's right",23
Impossible,Bridge: Clairo & Danielle Haim,Immunity,To listen to my breathing and start believing myself,24
Impossible,Bridge: Clairo & Danielle Haim,Immunity,"Woah, myself, myself",25
Impossible,Chorus: Clairo,Immunity,And I know we're not the same as we were,26
Impossible,Chorus: Clairo,Immunity,"Used to be falling hard, but now it just hurts me so bad",27
Impossible,Chorus: Clairo,Immunity,And you know that I can't hold back,28
Impossible,Chorus: Clairo,Immunity,All of these worries that I have had 'bout you,29
Closer To You,Verse 1,Immunity,"I feel it in my bones, even when I'm alone",1
Closer To You,Verse 1,Immunity,"Mama said, ""I told you so,"" going down a different road",2
Closer To You,Verse 1,Immunity,"You call me late at night, I pick up every time",3
Closer To You,Verse 1,Immunity,"Wish that I could rewind, get some peace of mind",4
Closer To You,Pre-Chorus,Immunity,"Shut up, don't wanna hear it now, I'm fed up",5
Closer To You,Pre-Chorus,Immunity,"Wish I could say it was enough, oh, to make me walk away",6
Closer To You,Pre-Chorus,Immunity,And I'm messed up 'cause every time I start to get up,7
Closer To You,Pre-Chorus,Immunity,"And now my head feels fucked up, and I know it won't change",8
Closer To You,Chorus,Immunity,The things you do,9
Closer To You,Chorus,Immunity,Only make me want to get closer to you,10
Closer To You,Chorus,Immunity,And the things that you say,11
Closer To You,Chorus,Immunity,Only make me want to stay,12
Closer To You,Verse 2,Immunity,"Can't push me away, I'm not going, I'll wait",13
Closer To You,Verse 2,Immunity,"You know this street runs two ways, say",14
Closer To You,Verse 2,Immunity,So I need to hear your voice,15
Closer To You,Verse 2,Immunity,Know I'm standing here by choice,16
Closer To You,Verse 2,Immunity,"And I can't hear the background noise, anyway",17
Closer To You,Pre-Chorus,Immunity,"Shut up, don't wanna hear it now, I'm fed up",18
Closer To You,Pre-Chorus,Immunity,"Wish I could say it was enough, oh, to make me walk away",19
Closer To You,Pre-Chorus,Immunity,And I'm messed up 'cause every time I start to get up,20
Closer To You,Pre-Chorus,Immunity,"And now my head feels fucked up, and I know it won't change",21
Closer To You,Chorus,Immunity,The things you do,22
Closer To You,Chorus,Immunity,Only make me want to get closer to you,23
Closer To You,Chorus,Immunity,And the things that you say,24
Closer To You,Chorus,Immunity,Only make me want to stay,25
North,Verse 1,Immunity,"I'm nervous, couldn’t tell you why",1
North,Verse 1,Immunity,"Touching me, hands warm on my thighs",2
North,Verse 1,Immunity,And I know I could turn a blind eye,3
North,Verse 1,Immunity,Afraid of what I'm gonna find,4
North,Verse 1,Immunity,Does it really have to be this way?,5
North,Verse 1,Immunity,"Oh, and my body hasn't felt the same",6
North,Verse 1,Immunity,Since you left my apartment,7
North,Verse 1,Immunity,Think my pillows still have your scent,8
North,Chorus,Immunity,I just want to let you know,9
North,Chorus,Immunity,I’m seeing the sides that you don't show,10
North,Chorus,Immunity,And I know that we've got some potential,11
North,Chorus,Immunity,'Cause that look you gave me was so gentle,12
North,Verse 2,Immunity,Do you think that you could stay?,13
North,Verse 2,Immunity,"I need more time, I need to get away from here",14
North,Verse 2,Immunity,Pour my love out,15
North,Verse 2,Immunity,Spill it all on the ground,16
North,Verse 2,Immunity,Is it all in my head? What are you saying?,17
North,Verse 2,Immunity,"Usually I'd be fine, but my head is spinning",18
North,Verse 2,Immunity,I never let anybody in,19
North,Verse 2,Immunity,Somehow you got under my skin,20
North,Chorus,Immunity,Never seen a face like yours,21
North,Chorus,Immunity,"I got it together, but my breath feels short",22
North,Chorus,Immunity,I don't wanna close the door,23
North,Chorus,Immunity,Maybe I should just go up north,24
North,Bridge,Immunity,All I'm tryna say,25
North,Bridge,Immunity,Is I miss you in every way,26
North,Bridge,Immunity,Fingertips on my back,27
North,Bridge,Immunity,Things I know that I can't have,28
North,Chorus,Immunity,Never seen a face like yours,29
North,Chorus,Immunity,"I got it together, but my breath feels short",30
North,Chorus,Immunity,I don’t wanna close the door,31
North,Chorus,Immunity,Maybe I should just go up north,32
North,Outro,Immunity,Maybe I should just go up north,33
North,Outro,Immunity,Maybe I should just go up north,34
Bags,Verse 1,Immunity,Every second counts,1
Bags,Verse 1,Immunity,"I don't wanna talk to you anymore, and",2
Bags,Verse 1,Immunity,All these little games,3
Bags,Verse 1,Immunity,"You can call me by the name I gave you yesterday, yeah",4
Bags,Verse 1,Immunity,Every minute counts,5
Bags,Verse 1,Immunity,"I don't wanna watch TV anymore, yeah",6
Bags,Verse 1,Immunity,Can you figure me out?,7
Bags,Verse 1,Immunity,Just doin' this to waste more time on the couch,8
Bags,Chorus,Immunity,Can you see me? I'm waiting for the right time,9
Bags,Chorus,Immunity,"I can't read you, but if you want, the pleasure's all mine",10
Bags,Chorus,Immunity,Can you see me using everything to hold back?,11
Bags,Chorus,Immunity,I guess this could be worse,12
Bags,Chorus,Immunity,Walking out the door with your bags,13
Bags,Chorus,Immunity,Walking out the door with your bags,14
Bags,Chorus,Immunity,Walking out the door with your bags,15
Bags,Chorus,Immunity,Walking out the door with your bags,16
Bags,Verse 2,Immunity,Pour your glass of wine,17
Bags,Verse 2,Immunity,Mitchell told me I should be just fine (Yeah),18
Bags,Verse 2,Immunity,Cases under the bed,19
Bags,Verse 2,Immunity,"Spill it open, let it rush to my head",20
Bags,Verse 2,Immunity,"I don't wanna be forward, I don't wanna cut corners",21
Bags,Verse 2,Immunity,Savor this with everything I have inside of me,22
Bags,Verse 2,Immunity,I'm not the type to run,23
Bags,Verse 2,Immunity,I know that we're having fun,24
Bags,Verse 2,Immunity,"But what's the rush? Kissing, then my cheeks are so flushed",25
Bags,Bridge,Immunity,Tell you how I felt,26
Bags,Bridge,Immunity,Sugar coated melting in your mouth,27
Bags,Bridge,Immunity,Pardon my emotions,28
Bags,Bridge,Immunity,I should probably keep it all to myself,29
Bags,Bridge,Immunity,Know you'd make fun of me,30
Bags,Bridge,Immunity,Know you'd make fun of me,31
Bags,Bridge,Immunity,Know you'd make fun of me,32
Bags,Bridge,Immunity,Know you'd make fun of me,33
Bags,Chorus,Immunity,Can you see me? I'm waiting for the right time,34
Bags,Chorus,Immunity,"I can't read you, but if you want, the pleasure's all mine",35
Bags,Chorus,Immunity,Can you see me using everything to hold back?,36
Bags,Chorus,Immunity,I guess this could be worse,37
Bags,Chorus,Immunity,Walking out the door with your bags,38
Bags,Chorus,Immunity,Walking out the door with your bags,39
Bags,Chorus,Immunity,Walking out the door with your bags,40
Bags,Chorus,Immunity,Walking out the door with your bags,41
Softly,Verse 1,Immunity,Is it alright,1
Softly,Verse 1,Immunity,To feel this way so early?,2
Softly,Verse 1,Immunity,But am I blind?,3
Softly,Verse 1,Immunity,All the sweet nothings fallin' in love overnight,4
Softly,Pre-Chorus,Immunity,Didn't mean to get so close,5
Softly,Pre-Chorus,Immunity,And I know that I should probably go,6
Softly,Pre-Chorus,Immunity,But I got this feeling,7
Softly,Pre-Chorus,Immunity,"Tell me, girl, I gotta know",8
Softly,Chorus,Immunity,"Touch you softly, I call you up late at night",9
Softly,Chorus,Immunity,"Know that it isn't right, but you could be my one and only",10
Softly,Chorus,Immunity,"You get me in the mood, know what I'm tryna do (Oh)",11
Softly,Chorus,Immunity,"Do you think that we can move closer, baby?",12
Softly,Chorus,Immunity,"I want you, yeah, yeah (Ooh)",13
Softly,Verse 2,Immunity,And all my life,14
Softly,Verse 2,Immunity,Been wanting this forever (Mm),15
