track_name,element,album_name,lyric,line
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,"Light that smoke, that one for giving up on me",1
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,And one just 'cause they'll kill you sooner than my expectations,2
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,"To my favorite liar, to my favorite scar (to my favorite scar!)",3
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,I could have died with you,4
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,I hope you choke on those words that kiss that bottle,5
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,Confess (so bury me in memory),6
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,"Now ask yourself, yeah, out of the insides",7
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 1,Take This to Your Grave,Said I loved you but I lied,8
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,"Let's play this game, called ""when you catch fire",9
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,"I wouldn't piss to put you out""",10
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,Stop burning bridges and drive off of them,11
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,So I can forget about you,12
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,"So bury me in memory, his smile's your rope",13
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,So wrap it tight around your throat,14
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 2,Take This to Your Grave,"On the drive home, joke about the kid you used to see",15
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 2,Take This to Your Grave,And his jealousy,16
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 2,Take This to Your Grave,Breaking hearts has never looked so cool,17
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 2,Take This to Your Grave,As when you wrap your car around a tree,18
“Tell That Mick He Just Made My List of Things to Do Today”,Verse 2,Take This to Your Grave,Your makeup looks so great next to his teeth (His teeth!),19
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,"Let's play this game, called ""when you catch fire",20
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,"I wouldn't piss to put you out"", no",21
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,Stop burning bridges and drive off of them,22
“Tell That Mick He Just Made My List of Things to Do Today”,Pre-Chorus,Take This to Your Grave,So I can forget about you,23
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,"So bury me in memory, his smile's your rope",24
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,So wrap it tight around your throat,25
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,"So bury me in memory, his smile's your rope",26
“Tell That Mick He Just Made My List of Things to Do Today”,Chorus,Take This to Your Grave,So wrap it tight around your throat,27
“Tell That Mick He Just Made My List of Things to Do Today”,Outro,Take This to Your Grave,So bury me in memory around your throat,28
Dead on Arrival,Verse 1,Take This to Your Grave,"Hope this is the last time, 'cause I'd never say no to you",1
Dead on Arrival,Verse 1,Take This to Your Grave,This conversation's been dead on arrival,2
Dead on Arrival,Verse 1,Take This to Your Grave,And there's no way to talk to you,3
Dead on Arrival,Verse 1,Take This to Your Grave,This conversation's been dead on,4
Dead on Arrival,Pre-Chorus,Take This to Your Grave,A rivalry goes so deep,5
Dead on Arrival,Pre-Chorus,Take This to Your Grave,Between me and this loss of sleep over you,6
Dead on Arrival,Chorus,Take This to Your Grave,"This is side one, flip me over",7
Dead on Arrival,Chorus,Take This to Your Grave,I know I'm not your favorite record,8
Dead on Arrival,Chorus,Take This to Your Grave,The songs you grow to like never stick at first,9
Dead on Arrival,Chorus,Take This to Your Grave,"So I'm writing you a chorus, and here is your verse",10
Dead on Arrival,Verse 2,Take This to Your Grave,"No, it's not the last time, 'cause I'd never say no to you",11
Dead on Arrival,Verse 2,Take This to Your Grave,This conversation's still dead on arrival,12
Dead on Arrival,Verse 2,Take This to Your Grave,And there's no way to talk to you,13
Dead on Arrival,Verse 2,Take This to Your Grave,When you're dead on,14
Dead on Arrival,Pre-Chorus,Take This to Your Grave,A rivalry goes so deep,15
Dead on Arrival,Pre-Chorus,Take This to Your Grave,Between me and this loss of sleep over you,16
Dead on Arrival,Chorus,Take This to Your Grave,"This is side one, flip me over",17
Dead on Arrival,Chorus,Take This to Your Grave,I know I'm not your favorite record,18
Dead on Arrival,Chorus,Take This to Your Grave,The songs you grow to like never stick at first,19
Dead on Arrival,Chorus,Take This to Your Grave,"So I'm writing you a chorus, and here is your, whoo!",20
Dead on Arrival,Bridge,Take This to Your Grave,"This is side one, flip me over",21
Dead on Arrival,Bridge,Take This to Your Grave,"I know I'm not your favorite record, no",22
Dead on Arrival,Bridge,Take This to Your Grave,"So, this is side one",23
Dead on Arrival,Bridge,Take This to Your Grave,Flip me over,24
Dead on Arrival,Chorus,Take This to Your Grave,"This is side one, flip me over",25
Dead on Arrival,Chorus,Take This to Your Grave,I know I'm not your favorite record,26
Dead on Arrival,Chorus,Take This to Your Grave,The songs you grow to like never stick at first,27
Dead on Arrival,Chorus,Take This to Your Grave,"So I'm writing you a chorus, and here is your verse",28
