track_name,element,album_name,lyric,line
Born To Die,Intro: Lana Del Rey & Mountain,Born to Die (Deluxe),Why? (Got that?),1
Born To Die,Intro: Lana Del Rey & Mountain,Born to Die (Deluxe),Who? Me? (Louder),2
Born To Die,Intro: Lana Del Rey & Mountain,Born to Die (Deluxe),Why? (Got that?),3
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),"Feet don't fail me now, take me to the finish line",4
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),"Oh, my heart, it breaks every step that I take",5
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),"But I'm hoping that the gates, they'll tell me that you're mine",6
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),"Walking through the city streets, is it by mistake or design?",7
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),I feel so alone on a Friday night,8
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),Can you make it feel like home if I tell you you're mine?,9
Born To Die,"Verse 1: Lana Del Rey, Mountain",Born to Die (Deluxe),"It's like I told you, honey (Louder)",10
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Don't make me sad, don't make me cry",11
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Sometimes, love is not enough",12
Born To Die,Pre-Chorus,Born to Die (Deluxe),"And the road gets tough, I don't know why",13
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Keep makin' me laugh, let's go get high",14
Born To Die,Pre-Chorus,Born to Die (Deluxe),"The road is long, we carry on",15
Born To Die,Pre-Chorus,Born to Die (Deluxe),Try to have fun in the meantime,16
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Come and take a walk on the wild side,17
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Let me kiss you hard in the pouring rain,18
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"You like your girls insane (Louder, alright)",19
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"Choose your last words, this is the last time",20
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"'Cause you and I, we were born to die",21
Born To Die,"Verse 2: Lana Del Rey, Mountain",Born to Die (Deluxe),"Lost, but now I am found",22
Born To Die,"Verse 2: Lana Del Rey, Mountain",Born to Die (Deluxe),"I can see that, once, I was blind",23
Born To Die,"Verse 2: Lana Del Rey, Mountain",Born to Die (Deluxe),I was so confused as a little child,24
Born To Die,"Verse 2: Lana Del Rey, Mountain",Born to Die (Deluxe),"Tried to take what I could get, scared that I couldn't find",25
Born To Die,"Verse 2: Lana Del Rey, Mountain",Born to Die (Deluxe),"All the answers, honey (Louder)",26
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Don't make me sad, don't make me cry",27
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Sometimes, love is not enough",28
Born To Die,Pre-Chorus,Born to Die (Deluxe),"And the road gets tough, I don't know why",29
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Keep makin' me laugh, let's go get high",30
Born To Die,Pre-Chorus,Born to Die (Deluxe),"The road is long, we carry on",31
Born To Die,Pre-Chorus,Born to Die (Deluxe),Try to have fun in the meantime,32
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Come and take a walk on the wild side,33
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Let me kiss you hard in the pouring rain,34
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"You like your girls insane (Louder, alright)",35
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"Choose your last words, this is the last time",36
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"'Cause you and I, we were born to die",37
Born To Die,Post-Chorus,Born to Die (Deluxe),"(We were born to die, we were born to die)",38
Born To Die,Post-Chorus,Born to Die (Deluxe),We were born to die,39
Born To Die,Post-Chorus,Born to Die (Deluxe),"(We were born to die, we were born to die, we were born to die)",40
Born To Die,Post-Chorus,Born to Die (Deluxe),We were born to die,41
Born To Die,Post-Chorus,Born to Die (Deluxe),Come and take a walk on the wild side,42
Born To Die,Post-Chorus,Born to Die (Deluxe),Let me kiss you hard in the pouring rain,43
Born To Die,Post-Chorus,Born to Die (Deluxe),You like your girls insane,44
Born To Die,Pre-Chorus,Born to Die (Deluxe),"So don't make me sad, don't make me cry",45
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Sometimes, love is not enough",46
Born To Die,Pre-Chorus,Born to Die (Deluxe),"And the road gets tough, I don't know why",47
Born To Die,Pre-Chorus,Born to Die (Deluxe),"Keep makin' me laugh, let's go get high",48
Born To Die,Pre-Chorus,Born to Die (Deluxe),"The road is long, we carry on",49
Born To Die,Pre-Chorus,Born to Die (Deluxe),Try to have fun in the meantime,50
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Come and take a walk on the wild side,51
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),Let me kiss you hard in the pouring rain,52
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"You like your girls insane (Louder, alright)",53
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"Choose your last words, this is the last time",54
Born To Die,"Chorus: Lana Del Rey, Mountain",Born to Die (Deluxe),"'Cause you and I, we were born to die",55
Born To Die,"Outro: Lana Del Rey, Mountain",Born to Die (Deluxe),(Louder),56
Born To Die,"Outro: Lana Del Rey, Mountain",Born to Die (Deluxe),"(We were born to die, we were born to die)",57
Born To Die,"Outro: Lana Del Rey, Mountain",Born to Die (Deluxe),We were born to die,58
Born To Die,"Outro: Lana Del Rey, Mountain",Born to Die (Deluxe),"(We were born to die, we were born to die)",59
