track_name,element,album_name,lyric,line
​brutal,Intro,SOUR,"I want it to be, like, messy",1
​brutal,Verse 1,SOUR,"I'm so insecure, I think",2
​brutal,Verse 1,SOUR,That I'll die before I drink,3
​brutal,Verse 1,SOUR,And I'm so caught up in the news,4
​brutal,Verse 1,SOUR,Of who likes me and who hates you,5
​brutal,Verse 1,SOUR,And I'm so tired that I might,6
​brutal,Verse 1,SOUR,"Quit my job, start a new life",7
​brutal,Verse 1,SOUR,And they'd all be so disappointed,8
​brutal,Verse 1,SOUR,'Cause who am I if not exploited?,9
​brutal,Verse 1,SOUR,And I'm so sick of seventeen,10
​brutal,Verse 1,SOUR,Where's my fucking teenage dream?,11
​brutal,Verse 1,SOUR,If someone tells me one more time,12
​brutal,Verse 1,SOUR,"""Enjoy your youth,"" I'm gonna cry",13
​brutal,Verse 1,SOUR,And I don't stick up for myself,14
​brutal,Verse 1,SOUR,"I'm anxious, and nothing can help",15
​brutal,Verse 1,SOUR,And I wish I'd done this before,16
​brutal,Verse 1,SOUR,And I wish people liked me more,17
​brutal,Chorus,SOUR,All I did was try my best,18
​brutal,Chorus,SOUR,This the kinda thanks I get?,19
​brutal,Chorus,SOUR,Unrelentlessly upset (Ah-ah-ah),20
​brutal,Chorus,SOUR,They say these are the golden years,21
​brutal,Chorus,SOUR,But I wish I could disappear,22
​brutal,Chorus,SOUR,Ego crush is so severe,23
​brutal,Chorus,SOUR,"God, it's brutal out here",24
​brutal,Post-Chorus,SOUR,(Yeah),25
​brutal,Verse 2,SOUR,I feel like no one wants me,26
​brutal,Verse 2,SOUR,And I hate the way I'm perceived,27
​brutal,Verse 2,SOUR,I only have two real friends,28
​brutal,Verse 2,SOUR,"And lately, I'm a nervous wreck",29
​brutal,Verse 2,SOUR,'Cause I love people I don't like,30
​brutal,Verse 2,SOUR,And I hate every song I write,31
​brutal,Verse 2,SOUR,"And I'm not cool, and I'm not smart",32
​brutal,Verse 2,SOUR,And I can't even parallel park,33
​brutal,Chorus,SOUR,All I did was try my best,34
​brutal,Chorus,SOUR,This the kinda thanks I get?,35
​brutal,Chorus,SOUR,Unrelentlessly upset (Ah-ah-ah),36
​brutal,Chorus,SOUR,They say these are the golden years,37
​brutal,Chorus,SOUR,But I wish I could disappear,38
​brutal,Chorus,SOUR,Ego crush is so severe,39
​brutal,Chorus,SOUR,"God, it's brutal out here",40
​brutal,Post-Chorus,SOUR,(Yeah),41
​brutal,Post-Chorus,SOUR,(Just havin' a really good time),42
​brutal,Outro,SOUR,"Got a broken ego, broken heart",43
​brutal,Outro,SOUR,"(Yeah, it's brutal out here, yeah, it's brutal out here)",44
​brutal,Outro,SOUR,"And God, I don't even know where to start",45
​traitor,Intro,SOUR,Ooh-ooh-ooh,1
​traitor,Intro,SOUR,Ah-ah-ah-ah-ah,2
​traitor,Verse 1,SOUR,"Brown guilty eyes and little white lies, yeah",3
​traitor,Verse 1,SOUR,"I played dumb, but I always knew",4
​traitor,Verse 1,SOUR,"That you talked to her, maybe did even worse",5
​traitor,Verse 1,SOUR,I kept quiet so I could keep you,6
​traitor,Pre-Chorus,SOUR,And ain't it funny how you ran to her,7
​traitor,Pre-Chorus,SOUR,The second that we called it quits?,8
​traitor,Pre-Chorus,SOUR,And ain't it funny how you said you were friends?,9
​traitor,Pre-Chorus,SOUR,Now it sure as hell don't look like it,10
​traitor,Chorus,SOUR,You betrayed me,11
​traitor,Chorus,SOUR,And I know that you'll never feel sorry,12
​traitor,Chorus,SOUR,"For the way I hurt, yeah",13
​traitor,Chorus,SOUR,You talked to her when we were together,14
​traitor,Chorus,SOUR,"Loved you at your worst, but that didn't matter",15
​traitor,Chorus,SOUR,It took you two weeks to go off and date her,16
​traitor,Chorus,SOUR,"Guess you didn't cheat, but you're still a traitor",17
​traitor,Verse 2,SOUR,Now you bring her around just to shut me down,18
​traitor,Verse 2,SOUR,Show her off like she's a new trophy,19
​traitor,Verse 2,SOUR,"And I know if you were true, there's no damn way that you",20
​traitor,Verse 2,SOUR,Could fall in love with somebody that quickly,21
​traitor,Pre-Chorus,SOUR,And ain't it funny? All the twisted games,22
​traitor,Pre-Chorus,SOUR,All the questions you used to avoid,23
​traitor,Pre-Chorus,SOUR,Ain't it funny? Remember I brought her up,24
​traitor,Pre-Chorus,SOUR,And you told me I was paranoid?,25
​traitor,Chorus,SOUR,You betrayed me,26
​traitor,Chorus,SOUR,And I know that you'll never feel sorry,27
​traitor,Chorus,SOUR,"For the way I hurt, yeah",28
​traitor,Chorus,SOUR,You talked to her when we were together,29
​traitor,Chorus,SOUR,"Loved you at your worst, but that didn't matter",30
​traitor,Chorus,SOUR,It took you two weeks to go off and date her,31
​traitor,Chorus,SOUR,"Guess you didn't cheat, but you're still a traitor",32
​traitor,Bridge,SOUR,(Ah-ah-ah),33
​traitor,Bridge,SOUR,"God, I wish that you had thought this through",34
​traitor,Bridge,SOUR,Before I went and fell in love with you,35
​traitor,Bridge,SOUR,(Ah-ah-ah),36
​traitor,Bridge,SOUR,When she's sleepin' in the bed we made,37
​traitor,Bridge,SOUR,Don't you dare forget about the way,38
​traitor,Chorus,SOUR,You betrayed me,39
​traitor,Chorus,SOUR,'Cause I know that you'll never feel sorry,40
​traitor,Chorus,SOUR,"For the way I hurt, yeah",41
​traitor,Chorus,SOUR,You talked to her when we were together,42
​traitor,Chorus,SOUR,"You gave me your word, but that didn't matter",43
​traitor,Chorus,SOUR,It took you two weeks to go off and date her,44
​traitor,Chorus,SOUR,"Guess you didn't cheat, but you're still, you're still a traitor",45
​traitor,Chorus,SOUR,(Ah-ah-ah),46
​traitor,Chorus,SOUR,"Yeah, you're still a traitor",47
​traitor,Outro,SOUR,Ooh-ooh-ooh,48
​traitor,Outro,SOUR,"God, I wish that you had thought this through",49
​traitor,Outro,SOUR,Before I went and fell in love with you,50
​drivers license,Verse 1,SOUR,I got my driver's license last week,1
​drivers license,Verse 1,SOUR,Just like we always talked about,2
​drivers license,Verse 1,SOUR,'Cause you were so excited for me,3
​drivers license,Verse 1,SOUR,To finally drive up to your house,4
​drivers license,Verse 1,SOUR,"But today, I drove through the suburbs",5
​drivers license,Verse 1,SOUR,Crying 'cause you weren't around,6
​drivers license,Verse 2,SOUR,And you're probably with that blonde girl,7
​drivers license,Verse 2,SOUR,Who always made me doubt,8
​drivers license,Verse 2,SOUR,She's so much older than me,9
​drivers license,Verse 2,SOUR,She's everything I'm insecure about,10
​drivers license,Verse 2,SOUR,"Yeah, today, I drove through the suburbs",11
​drivers license,Verse 2,SOUR,'Cause how could I ever love someone else?,12
​drivers license,Chorus,SOUR,"And I know we weren't perfect, but I've never felt this way for no one",13
