track_name,element,album,lyrics,line
You,Verse 1,Pablo Honey,You are the sun and moon and stars are you,1
You,Verse 1,Pablo Honey,And I could never run away from you,2
You,Verse 2,Pablo Honey,You try at working out chaotic things,3
You,Verse 2,Pablo Honey,"And why should I believe myself, not you?",4
You,Verse 3,Pablo Honey,It's like the world is gonna end so soon,5
You,Verse 3,Pablo Honey,And why should I believe myself?,6
You,Verse 3,Pablo Honey,My–,7
You,Outro,Pablo Honey,"You, me and everything",8
You,Outro,Pablo Honey,Caught in the fire,9
You,Outro,Pablo Honey,I can see me drowning,10
You,Outro,Pablo Honey,Caught in the fire,11
You,Outro,Pablo Honey,"You, me and everything",12
You,Outro,Pablo Honey,Caught in the fire,13
You,Outro,Pablo Honey,I can see me drowning,14
You,Outro,Pablo Honey,Caught in the fireYou might also like,15
Creep,Verse 1,Pablo Honey,When you were here before,1
Creep,Verse 1,Pablo Honey,Couldn't look you in the eye,2
Creep,Verse 1,Pablo Honey,You're just like an angel,3
Creep,Verse 1,Pablo Honey,Your skin makes me cry,4
Creep,Verse 1,Pablo Honey,You float like a feather,5
Creep,Verse 1,Pablo Honey,In a beautiful world,6
Creep,Verse 1,Pablo Honey,I wish I was special,7
Creep,Verse 1,Pablo Honey,You're so fuckin' special,8
Creep,Chorus,Pablo Honey,"But I'm a creep, I'm a weirdo",9
Creep,Chorus,Pablo Honey,What the hell am I doing here?,10
Creep,Chorus,Pablo Honey,I don't belong here,11
Creep,Verse 2,Pablo Honey,I don't care if it hurts,12
Creep,Verse 2,Pablo Honey,I wanna have control,13
Creep,Verse 2,Pablo Honey,I want a perfect body,14
Creep,Verse 2,Pablo Honey,I want a perfect soul,15
Creep,Verse 2,Pablo Honey,I want you to notice,16
Creep,Verse 2,Pablo Honey,When I'm not around,17
Creep,Verse 2,Pablo Honey,You're so fuckin' special,18
Creep,Verse 2,Pablo Honey,I wish I was special,19
Creep,Chorus,Pablo Honey,"But I'm a creep, I'm a weirdo",20
Creep,Chorus,Pablo Honey,What the hell am I doing here?,21
Creep,Chorus,Pablo Honey,I don't belong here,22
Creep,Chorus,Pablo Honey,"Oh-oh, oh-oh",23
Creep,Chorus,Pablo Honey,You might also like,24
Creep,Bridge,Pablo Honey,She's running out the door,25
Creep,Bridge,Pablo Honey,She's running,26
Creep,Bridge,Pablo Honey,"She run, run, run, run",27
Creep,Bridge,Pablo Honey,Run,28
Creep,Outro,Pablo Honey,Whatever makes you happy,29
Creep,Outro,Pablo Honey,Whatever you want,30
Creep,Outro,Pablo Honey,You're so fuckin' special,31
Creep,Outro,Pablo Honey,I wish I was special,32
Creep,Outro,Pablo Honey,"But I'm a creep, I'm a weirdo",33
Creep,Outro,Pablo Honey,What the hell am I doing here?,34
Creep,Outro,Pablo Honey,I don't belong here,35
Creep,Outro,Pablo Honey,I don't belong here,36
How Do You?,Verse 1,Pablo Honey,He's bitter and twisted,1
How Do You?,Verse 1,Pablo Honey,He knows what he wants,2
How Do You?,Verse 1,Pablo Honey,He wants to be loved and,3
How Do You?,Verse 1,Pablo Honey,He wants to belong,4
How Do You?,Verse 1,Pablo Honey,He wants us to listen,5
How Do You?,Verse 1,Pablo Honey,He wants us to weep,6
How Do You?,Verse 1,Pablo Honey,And he was a stupid baby who turned into a powerful freak,7
How Do You?,Chorus,Pablo Honey,But how do you?,8
How Do You?,Chorus,Pablo Honey,How do you?,9
How Do You?,Chorus,Pablo Honey,How do you?,10
How Do You?,Verse 2,Pablo Honey,He lives with his mother,11
How Do You?,Verse 2,Pablo Honey,But we show him respect,12
How Do You?,Verse 2,Pablo Honey,He's a dangerous bigot,13
How Do You?,Verse 2,Pablo Honey,But we always forget,14
How Do You?,Verse 2,Pablo Honey,And he's just like his daddy,15
How Do You?,Verse 2,Pablo Honey,'Cause he cheats on his friends,16
How Do You?,Verse 2,Pablo Honey,And he steals and he bullies,17
How Do You?,Verse 2,Pablo Honey,Anyway that he can,18
How Do You?,Chorus,Pablo Honey,But how do you?,19
How Do You?,Chorus,Pablo Honey,How do you?,20
How Do You?,Chorus,Pablo Honey,How do you?You might also like,21
Stop Whispering,Verse 1,Pablo Honey,And the wise man said I don't want to hear your voice,1
Stop Whispering,Verse 1,Pablo Honey,And the thin man said I don't want to hear your voice,2
Stop Whispering,Verse 1,Pablo Honey,And they're cursing me and they won't let me be,3
Stop Whispering,Verse 1,Pablo Honey,And there's nothing to say and there's nothing to do,4
Stop Whispering,Chorus,Pablo Honey,"Stop whispering, start shouting",5
Stop Whispering,Chorus,Pablo Honey,"Stop whispering, start shouting",6
Stop Whispering,Verse 2,Pablo Honey,And my mother said we spit on your son some more,7
Stop Whispering,Verse 2,Pablo Honey,And the buildings say we spit on your face some more,8
Stop Whispering,Verse 2,Pablo Honey,And the feeling is that there's something wrong,9
Stop Whispering,Verse 2,Pablo Honey,'Cause I can't find the words and I can't find the songs,10
Stop Whispering,Chorus,Pablo Honey,"Stop whispering, start shouting",11
Stop Whispering,Chorus,Pablo Honey,"Stop whispering, start shouting",12
Stop Whispering,Bridge,Pablo Honey,"Dear Sir, I have a complaint",13
Stop Whispering,Bridge,Pablo Honey,"Dear Sir, I have a complaint",14
Stop Whispering,Bridge,Pablo Honey,Can't remember what it is,15
Stop Whispering,Bridge,Pablo Honey,It doesn't matter anyway,16
Stop Whispering,Bridge,Pablo Honey,It doesn't matter anyway,17
Stop Whispering,Bridge,Pablo Honey,You might also like,18
Stop Whispering,Outro,Pablo Honey,"Stop whispering, stop whispering",19
Stop Whispering,Outro,Pablo Honey,"Stop whispering, stop whispering",20
Stop Whispering,Outro,Pablo Honey,"Stop, stop",21
Thinking About You,Verse 1,Pablo Honey,Been thinking about you,1
Thinking About You,Verse 1,Pablo Honey,Your records are here,2
Thinking About You,Verse 1,Pablo Honey,Your eyes are on my wall,3
Thinking About You,Verse 1,Pablo Honey,Your teeth are over there,4
Thinking About You,Verse 1,Pablo Honey,But I'm still no one,5
Thinking About You,Verse 1,Pablo Honey,And you're now a star,6
Thinking About You,Verse 1,Pablo Honey,What do you care?,7
Thinking About You,Verse 2,Pablo Honey,Been thinking about you,8
Thinking About You,Verse 2,Pablo Honey,And there's no rest,9
Thinking About You,Verse 2,Pablo Honey,Should I still love you?,10
Thinking About You,Verse 2,Pablo Honey,Still see you in bed?,11
Thinking About You,Verse 2,Pablo Honey,But I'm playing with myself,12
Thinking About You,Verse 2,Pablo Honey,And what do you care,13
Thinking About You,Verse 2,Pablo Honey,"When the other men are far, far better?",14
Thinking About You,Bridge,Pablo Honey,All the things you've got,15
Thinking About You,Bridge,Pablo Honey,All the things you need,16
Thinking About You,Bridge,Pablo Honey,Who bought you cigarettes?,17
Thinking About You,Bridge,Pablo Honey,"Who bribed the company to come and see you, honey?",18
Thinking About You,Verse 3,Pablo Honey,I've been thinking about you,19
Thinking About You,Verse 3,Pablo Honey,So how can you sleep?,20
Thinking About You,Verse 3,Pablo Honey,These people aren't your friends,21
Thinking About You,Verse 3,Pablo Honey,They're paid to kiss your feet,22
Thinking About You,Verse 3,Pablo Honey,They don't know what I know,23
Thinking About You,Verse 3,Pablo Honey,And why should you care,24
Thinking About You,Verse 3,Pablo Honey,When I'm not there?,25
Thinking About You,Verse 3,Pablo Honey,You might also like,26
Thinking About You,Verse 4,Pablo Honey,Been thinking about you,27
Thinking About You,Verse 4,Pablo Honey,And there's no rest,28
Thinking About You,Verse 4,Pablo Honey,Should I still love you?,29
Thinking About You,Verse 4,Pablo Honey,Still see you in bed?,30
Thinking About You,Verse 4,Pablo Honey,But I'm playing with myself,31
Thinking About You,Verse 4,Pablo Honey,And what do you care,32
Thinking About You,Verse 4,Pablo Honey,When I'm not there?,33
Thinking About You,Bridge,Pablo Honey,All the things you've got,34
Thinking About You,Bridge,Pablo Honey,That you'll never need,35
Thinking About You,Bridge,Pablo Honey,All the things you've got,36
Thinking About You,Bridge,Pablo Honey,I've bled and I bleed to please you,37
Thinking About You,Outro,Pablo Honey,Been thinking about you,38
Anyone Can Play Guitar,Verse 1,Pablo Honey,"Destiny, destiny, protect me from the world",1
Anyone Can Play Guitar,Verse 1,Pablo Honey,"Destiny, hold my hand, protect me from the world",2
Anyone Can Play Guitar,Pre-Chorus,Pablo Honey,"Here we are, with our running and confusion",3
Anyone Can Play Guitar,Pre-Chorus,Pablo Honey,And I don't see no confusion anywhere,4
Anyone Can Play Guitar,Chorus,Pablo Honey,"And if the world does turn, and if London burns",5
Anyone Can Play Guitar,Chorus,Pablo Honey,I'll be standing on the beach with my guitar,6
Anyone Can Play Guitar,Chorus,Pablo Honey,I wanna be in a band when I get to heaven,7
Anyone Can Play Guitar,Chorus,Pablo Honey,Anyone can play guitar and they won't be a nothing anymore,8
Anyone Can Play Guitar,Verse 2,Pablo Honey,Grow my hair,9
Anyone Can Play Guitar,Verse 2,Pablo Honey,"Grow my hair, I am Jim Morrison",10
Anyone Can Play Guitar,Verse 2,Pablo Honey,Grow my hair,11
Anyone Can Play Guitar,Verse 2,Pablo Honey,"I wanna be, wanna be, wanna be Jim Morrison",12
Anyone Can Play Guitar,Pre-Chorus,Pablo Honey,"Here we are, with our running and confusion",13
Anyone Can Play Guitar,Pre-Chorus,Pablo Honey,And I don't see no confusion anywhere,14
Anyone Can Play Guitar,Chorus,Pablo Honey,"And if the world does turn, and if London burns",15
Anyone Can Play Guitar,Chorus,Pablo Honey,I'll be standing on the beach with my guitar,16
Anyone Can Play Guitar,Chorus,Pablo Honey,I wanna be in a band when I get to heaven,17
Anyone Can Play Guitar,Chorus,Pablo Honey,Anyone can play guitar and they won't be a nothing anymoreYou might also like,18
Ripcord,Verse 1,Pablo Honey,Soul destroyed with clever toys for little boys,1
Ripcord,Verse 1,Pablo Honey,"It's inevitable, inevitable, it's a soul destroyed",2
Ripcord,Chorus,Pablo Honey,You're free until you drop,3
Ripcord,Chorus,Pablo Honey,You're free until you've had enough,4
Ripcord,Chorus,Pablo Honey,But you don't understand,5
Ripcord,Chorus,Pablo Honey,"You've no ripcord, no ripcord",6
Ripcord,Chorus,Pablo Honey,"No ripcord, no ripcord",7
Ripcord,Verse 2,Pablo Honey,"Aeroplane, do I mean what I mean?",8
Ripcord,Verse 2,Pablo Honey,"Oh, it's inevitable, inevitable, oh aeroplane",9
Ripcord,Chorus,Pablo Honey,A thousand miles an hour,10
Ripcord,Chorus,Pablo Honey,And politics in power,11
Ripcord,Chorus,Pablo Honey,That you don't understand,12
Ripcord,Chorus,Pablo Honey,"You've no ripcord, no ripcord",13
Ripcord,Chorus,Pablo Honey,"No ripcord, no ripcord",14
Ripcord,Chorus,Pablo Honey,Yi yi yi yi,15
Ripcord,Chorus,Pablo Honey,The answer to your prayers,16
Ripcord,Chorus,Pablo Honey,We'll drop you anywhere,17
Ripcord,Chorus,Pablo Honey,"With no ripcord, no ripcord",18
Ripcord,Chorus,Pablo Honey,"No ripcord, n-n-no ripcord",19
Ripcord,Chorus,Pablo Honey,YeahYou might also like,20
Vegetable,Verse 1,Pablo Honey,I never wanted anything but this,1
Vegetable,Verse 1,Pablo Honey,"I worked hard, tried hard",2
Vegetable,Verse 1,Pablo Honey,I ran around in domestic bliss,3
Vegetable,Verse 1,Pablo Honey,"I fought hard, died long",4
Vegetable,Pre-Chorus 1,Pablo Honey,Every time you're running out of here,5
Vegetable,Pre-Chorus 1,Pablo Honey,Every time you're running I get the fear,6
Vegetable,Verse 2,Pablo Honey,I never wanted any broken bones,7
Vegetable,Verse 2,Pablo Honey,"Scarred face, no home",8
Vegetable,Verse 2,Pablo Honey,Your words surround me and asphyxiate,9
Vegetable,Verse 2,Pablo Honey,And I burn all hate,10
Vegetable,Pre-Chorus 2,Pablo Honey,Every time you're running out on me,11
Vegetable,Pre-Chorus 2,Pablo Honey,Every time you're running I can see,12
Vegetable,Chorus,Pablo Honey,I'm not a vegetable,13
Vegetable,Chorus,Pablo Honey,I will not control myself,14
Vegetable,Chorus,Pablo Honey,I spit on the hand that feeds me,15
