track_name,element,album_name,lyric,line
Eyes Wide Open,Intro,Eyes Wide Open,La-di-da-da-da-na,1
Eyes Wide Open,Intro,Eyes Wide Open,Yeah,2
Eyes Wide Open,Verse 1,Eyes Wide Open,Everybody loves to tell me,3
Eyes Wide Open,Verse 1,Eyes Wide Open,I was born an old soul,4
Eyes Wide Open,Verse 1,Eyes Wide Open,Better keep my eyes wide open,5
Eyes Wide Open,Verse 1,Eyes Wide Open,There's so much that I don't know,6
Eyes Wide Open,Verse 1,Eyes Wide Open,Just another hotel room,7
Eyes Wide Open,Verse 1,Eyes Wide Open,Never felt so all alone,8
Eyes Wide Open,Verse 1,Eyes Wide Open,I think about my granddad's eyes,9
Eyes Wide Open,Verse 1,Eyes Wide Open,And they always send me home,10
Eyes Wide Open,Verse 1,Eyes Wide Open,I can almost hear him now,11
Eyes Wide Open,Verse 1,Eyes Wide Open,I gotta make him proud,12
Eyes Wide Open,Chorus,Eyes Wide Open,I keep my eyes wide open,13
Eyes Wide Open,Chorus,Eyes Wide Open,"Bless this ground, unbroken",14
Eyes Wide Open,Chorus,Eyes Wide Open,I'm about to make my way,15
Eyes Wide Open,Chorus,Eyes Wide Open,Heaven help me keep my faith,16
Eyes Wide Open,Chorus,Eyes Wide Open,And my eyes wide open,17
Eyes Wide Open,Verse 2,Eyes Wide Open,I can't see two steps ahead of me,18
Eyes Wide Open,Verse 2,Eyes Wide Open,When the fog comes rollin' in,19
Eyes Wide Open,Verse 2,Eyes Wide Open,I never thought I'd miss the rain,20
Eyes Wide Open,Verse 2,Eyes Wide Open,Lord knows how long it's been,21
Eyes Wide Open,Verse 2,Eyes Wide Open,This dream burns inside of me,22
Eyes Wide Open,Verse 2,Eyes Wide Open,And I can't just let it go,23
Eyes Wide Open,Verse 2,Eyes Wide Open,There's still so much that I don't know,24
Eyes Wide Open,Chorus,Eyes Wide Open,I keep my eyes wide open (No),25
Eyes Wide Open,Chorus,Eyes Wide Open,"Bless this ground, unbroken",26
Eyes Wide Open,Chorus,Eyes Wide Open,I'm about to make my way,27
Eyes Wide Open,Chorus,Eyes Wide Open,Heaven help me keep my faith,28
Eyes Wide Open,Chorus,Eyes Wide Open,And my eyes wide open (Yeah),29
