track_name,element,album_name,lyric,line
Thread the Needle,Verse 1,One - EP,Bury me inside this,1
Thread the Needle,Verse 1,One - EP,Labyrinth bed,2
Thread the Needle,Verse 1,One - EP,We can feel that time is,3
Thread the Needle,Verse 1,One - EP,Dilated,4
Thread the Needle,Chorus,One - EP,We can spend the night in,5
Thread the Needle,Chorus,One - EP,Fascination,6
Thread the Needle,Chorus,One - EP,You can thread the needle,7
Thread the Needle,Chorus,One - EP,Time and time again,8
Thread the Needle,Post-Chorus,One - EP,You turn the lights down,9
Thread the Needle,Post-Chorus,One - EP,Come on and find out,10
Thread the Needle,Post-Chorus,One - EP,You turn the lights down,11
Thread the Needle,Post-Chorus,One - EP,Come on and find out,12
Thread the Needle,Verse 2,One - EP,Something to confide in,13
Thread the Needle,Verse 2,One - EP,Something to erase,14
Thread the Needle,Verse 2,One - EP,Just look at where we're lying,15
Thread the Needle,Verse 2,One - EP,An invisible space,16
Thread the Needle,Chorus,One - EP,We can spend the night in,17
Thread the Needle,Chorus,One - EP,Fascination,18
Thread the Needle,Chorus,One - EP,You can thread the needle,19
Thread the Needle,Chorus,One - EP,Time and time again,20
Thread the Needle,Post-Chorus,One - EP,You turn the lights down,21
Thread the Needle,Post-Chorus,One - EP,Come on and find out,22
Thread the Needle,Post-Chorus,One - EP,You turn the lights down,23
Thread the Needle,Post-Chorus,One - EP,Come on and find out,24
Fields of Elation,Verse 1,One - EP,"The daylight recedes in unison, this room",1
Fields of Elation,Verse 1,One - EP,"Buries the hours, like death in motion",2
Fields of Elation,Chorus,One - EP,Nobody else can pull me out,3
Fields of Elation,Chorus,One - EP,"The fields of elation, quiet and loamy",4
Fields of Elation,Verse 2,One - EP,"Your name is a sin I breathe, like oxygen",5
Fields of Elation,Verse 2,One - EP,Caught in the careless arms of lust again,6
Fields of Elation,Chorus,One - EP,Nobody else can pull me out,7
Fields of Elation,Chorus,One - EP,"The fields of elation, quiet and loamy",8
Fields of Elation,Chorus,One - EP,And nobody else can pull me out,9
Fields of Elation,Chorus,One - EP,"The fields of elation, quiet and loamy",10
Fields of Elation,Chorus,One - EP,And nobody else can pull me out,11
Fields of Elation,Chorus,One - EP,"The fields of elation, quiet and loamy",12
Fields of Elation,Outro,One - EP,I'm losing my faith in our lives apart,13
Fields of Elation,Outro,One - EP,I'm losing my faith in our lives apart,14
Fields of Elation,Outro,One - EP,I'm losing my faith in our lives apart,15
Fields of Elation,Outro,One - EP,I'm losing my faith in our lives apart,16
When the Bough Breaks,Verse 1,One - EP,You could stay alive,1
When the Bough Breaks,Verse 1,One - EP,Just tell me that you notice,2
When the Bough Breaks,Verse 1,One - EP,Even in the dark,3
When the Bough Breaks,Verse 1,One - EP,The way I left you breathing,4
When the Bough Breaks,Refrain,One - EP,Sometimes when we touch,5
When the Bough Breaks,Refrain,One - EP,Everything we love resets,6
When the Bough Breaks,Refrain,One - EP,It's only just enough,7
When the Bough Breaks,Refrain,One - EP,Even when we run with death,8
When the Bough Breaks,Verse 2,One - EP,We could be released,9
When the Bough Breaks,Verse 2,One - EP,Flowing over sorrow days,10
When the Bough Breaks,Verse 2,One - EP,We could stay suspended,11
When the Bough Breaks,Verse 2,One - EP,Even when the bough breaks,12
When the Bough Breaks,Refrain,One - EP,Sometimes when we touch,13
When the Bough Breaks,Refrain,One - EP,Everything we love resets,14
When the Bough Breaks,Refrain,One - EP,It's only just enough,15
When the Bough Breaks,Refrain,One - EP,Even when we run with death,16
When the Bough Breaks,Bridge,One - EP,Don't lie to me,17
When the Bough Breaks,Bridge,One - EP,Don't lie to me,18
When the Bough Breaks,Bridge,One - EP,Don't lie to me,19
When the Bough Breaks,Bridge,One - EP,Don't lie to me,20
When the Bough Breaks,Bridge,One - EP,Don't lie to me,21
When the Bough Breaks,Bridge,One - EP,Don't lie to me,22
When the Bough Breaks,Bridge,One - EP,Don't lie to me,23
When the Bough Breaks,Bridge,One - EP,Don't lie to me,24
When the Bough Breaks,Chorus,One - EP,Everything we touch turns water into blood,25
When the Bough Breaks,Chorus,One - EP,"(Don't lie to me, don't lie to me)",26
When the Bough Breaks,Chorus,One - EP,"You try to look away from, even when the bough breaks",27
