track_name,element,album_name,lyric,line
Female Robbery,Verse 1,I'm Sorry,I think I found hell,1
Female Robbery,Verse 1,I'm Sorry,I think I found something,2
Female Robbery,Verse 1,I'm Sorry,I think I found something in my TV screen,3
Female Robbery,Verse 1,I'm Sorry,I think I found out that I have nothing,4
Female Robbery,Verse 1,I'm Sorry,That I have nothing in this place for me,5
Female Robbery,Verse 1,I'm Sorry,"I watched it all in my head, perfect sense",6
Female Robbery,Verse 1,I'm Sorry,They'll take me from my bed,7
Female Robbery,Verse 1,I'm Sorry,Leave everything that is worth a single cent,8
Female Robbery,Verse 1,I'm Sorry,And just take me instead,9
Female Robbery,Verse 1,I'm Sorry,That TV show I saw as I fell asleep,10
Female Robbery,Verse 1,I'm Sorry,Had me on both my knees,11
Female Robbery,Verse 1,I'm Sorry,"Praying to whatever is in heaven, please send me a felon",12
Female Robbery,Verse 1,I'm Sorry,And don't let the police know,13
Female Robbery,Chorus,I'm Sorry,"Anything, anything",14
Female Robbery,Chorus,I'm Sorry,Don't tell them anything,15
Female Robbery,Chorus,I'm Sorry,"Anything, please",16
Female Robbery,Chorus,I'm Sorry,"Anything, anything",17
Female Robbery,Chorus,I'm Sorry,Don't tell them anything,18
Female Robbery,Chorus,I'm Sorry,"Anything, please, oh",19
Female Robbery,Verse 2,I'm Sorry,I think I can tell,20
Female Robbery,Verse 2,I'm Sorry,I think I can tell them,21
Female Robbery,Verse 2,I'm Sorry,Tell them they were made for me,22
Female Robbery,Verse 2,I'm Sorry,"I'm thinking they'll know, know it already",23
Female Robbery,Verse 2,I'm Sorry,I'm thinking they'll know just about everything,24
Female Robbery,Verse 2,I'm Sorry,I bet they planned it all out like the shows,25
Female Robbery,Verse 2,I'm Sorry,Went everywhere I go,26
Female Robbery,Verse 2,I'm Sorry,Walked in the store right behind me,27
Female Robbery,Verse 2,I'm Sorry,Stood in line right beside me and followed me to my home,28
Female Robbery,Verse 2,I'm Sorry,"I'm sure they figured it out, early on",29
Female Robbery,Verse 2,I'm Sorry,That I would never run,30
Female Robbery,Verse 2,I'm Sorry,That they could shoot but that's no fun,31
Female Robbery,Verse 2,I'm Sorry,'Cause then they're killing the stolen son,32
Female Robbery,Chorus,I'm Sorry,"Oh, anything, anything",33
Female Robbery,Chorus,I'm Sorry,Don't tell them anything,34
Female Robbery,Chorus,I'm Sorry,"Anything, please",35
Female Robbery,Chorus,I'm Sorry,"Anything, anything",36
Female Robbery,Chorus,I'm Sorry,Don't tell them anything,37
Female Robbery,Chorus,I'm Sorry,"Anything, please",38
Female Robbery,Chorus,I'm Sorry,"Anything, anything (We're going to die, die, down, die, die)",39
Female Robbery,Chorus,I'm Sorry,"Don't tell them anything (We're going to die, die, down, die, die)",40
Female Robbery,Chorus,I'm Sorry,"Anything, please",41
Female Robbery,Chorus,I'm Sorry,"Anything, anything (We're going to die, die, down, die, die)",42
Female Robbery,Chorus,I'm Sorry,"Don't tell them anything (We're going to die, die, down, die, die)",43
Female Robbery,Chorus,I'm Sorry,"Anything, please, oh",44
Female Robbery,Outro,I'm Sorry,"We're going to die, die, down, die, die, down",45
Female Robbery,Outro,I'm Sorry,"We're going to die, die, down, die",46
Female Robbery,Outro,I'm Sorry,"We're going to die, die, down, die, die, down",47
Female Robbery,Outro,I'm Sorry,"We're going to die, die, down, die",48
Female Robbery,Outro,I'm Sorry,(I think I found love),49
Leaving Tonight,Verse 1,I'm Sorry,You fooled me from the start when you let me start to love you,1
Leaving Tonight,Verse 1,I'm Sorry,It's like a bunch of broken picture frames,2
Leaving Tonight,Verse 1,I'm Sorry,"But, the photo still remains the same",3
Leaving Tonight,Verse 1,I'm Sorry,"I, and I, I thought it'd be easy to run, but my legs are broken",4
Leaving Tonight,Chorus,I'm Sorry,All alone all we know Is haunting me,5
Leaving Tonight,Chorus,I'm Sorry,"Making it harder to breathe, harder to breathe, oh",6
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, I'm leaving tonight yeah",7
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, yeah I'm leaving tonight, yeah",8
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, I'll be home in the morning",9
Leaving Tonight,Verse 2,I'm Sorry,I saw it from a far but my eyes have always fooled me,10
Leaving Tonight,Verse 2,I'm Sorry,It looked to me like all the sidewalks started walking,11
Leaving Tonight,Verse 2,I'm Sorry,"I swear to God the voices wouldn't shut up, ohh",12
Leaving Tonight,Verse 2,I'm Sorry,"And I, I figured it all to be love, but this isn't lovely",13
Leaving Tonight,Chorus,I'm Sorry,All alone all we know Is haunting me,14
Leaving Tonight,Chorus,I'm Sorry,"Making it harder to breathe, harder to breathe, oh",15
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, I'm leaving tonight yeah",16
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, yeah I'm leaving tonight, yeah",17
Leaving Tonight,Chorus,I'm Sorry,"I'm leaving tonight, I'll be home in the morning",18
Leaving Tonight,Chorus,I'm Sorry,All alone all we know Is haunting me,19
Leaving Tonight,Chorus,I'm Sorry,"Making it harder to breathe, harder to breathe, oh",20
