lyric,count
Mad all the time,14
"So let me go, let me go down",14
Last night I had the strangest dream of all,13
"Whoa, you’ll never know",12
Do you feel it too?,12
"Crave, crave, crave, crave, oh",12
"Love, love, love",12
"We, we're made in America",12
'Cause I like it,12
I really thought you were my four-leaf clover,12
"But I think it's fine, it's cool",11
I don't wanna be your crybaby,11
I don't wanna be your crybaby now,11
I wish I was royal but I'm not,11
I've got to know,10
Maybe someone's,10
Oh woah oh oh oh,10
You're one of my favorite few,10
Do you see the problem here?,9
I wish I was dead sometimes,9
But then what?,9
At least it's all about you,9
You rip me to shreds,9
I'm starting to think,8
Digging,8
Cause I'm just not used to,8
Break me,8
Teething,8
"Oh, tell me why we wonder",8
Was out to get you,8
"I want a big house, I want nice things",8
You know I'm stupid for you,8
I’m fighting for you,8
"Mad all the time, mad all the time",8
Deep through all my idols graves,7
Around the edge of my heart,7
"I'm cravin', a getaway from the",7
I think with my heart,7
Teething (teething),7
Keep me close like your territory now,7
And everybody wants you,7
I'm just here to destroy,7
"The heart I gave, it was a decoy",7
I'm better as your chew toy,7
I think the blondes are done,7
I never promised you your dream boy,7
We're fucked and don't care at all,7
My face feels hot and blue,7
We can fuck about it later if you want,7
If everyone you knew,6
It makes me sick you know my skin,6
We're all too cool for fun,6
"From thinking about, thinking about you all the time",6
Do you think God knows?,6
I'm magnetic to the things I hate the most,6
I-I'm mad all the time,6
Sleepin' with my clothes on in case shit goes wrong,6
You'd be paranoid too,6
"If you need me, I'm here now",6
Stay awake for me?,6
"Tell me, won't you stay awake",6
There's nothing in my system,6
Now I think I need a life or maybe 9,6
I could run away like that,6
So I'm feeling what I feel for you,6
'Cause I only want to lift you up,6
I guess I never really said enough,6
"We’re not sleeping, we’re just dreaming",6
I don't wanna be like that,6
I don't wanna think like that,6
"I like cool shirts, I like cold rings",6
I know I'm lonely but I won't come over,6
I try to hide with my words,6
You'd be worth the chases to go-oh-oh,6
Am I the boy you dreamed of? Oh,6
"What the fuck is wrong with me? (Yeah, yeah)",6
All the girls in Los Angeles look like you from a distance,6
"Yeah, everything slows down",6
"If you feel it, then I feel it too",6
Powerless tonight,6
All I am is losing track of time,6
It didn't work and I feel like shit,6
Tried anything not to think of ya,6
"Maybe I'm, maybe I'm tired (Maybe I'm, maybe I'm tired)",6
"Stop right there, don't come any closer",6
Just promise that you won’t forget about me,6
I found a million places,6
My quiet blue tomb,6
"Smooth talk, that's keeping me grounded",6
It's everything I wanted,6
"She wore a sweater in summer weather, yeah",6
And is it because of me?,6
I'm two faced from your double exposure,6
But one thing's for sure,6
Do you believe in love? Oh,6
Gotta clear my front lawn off,6
But you just find me clever,6
"To the, carpet in my room",6
Everybody just thinks that I’m falling apart at the seams and I can’t believe,5
That they’re all wrong about me,5
"Living in your subconscious, oh",5
Used to protect yourself from all the world,5
In my paradise,5
I’ll be the silver lining around your fence,5
When I was 15,5
Kiss me like nobody would,5
You're so cold,5
What made you so,5
Scared to be alone?,5
Who chilled your bones,5
That wasn't me,5
The boys are sad,5
Feeling my love mood,5
But can you really get lost in heaven?,5
We're classic hysteria,5
"We're culture clashing, hazard smashing",5
"Aesthetically, yeah, we're so pleasing",5
The size of my bad thoughts broke down my door,5
And everything slows down,5
Would you get tired of my time?,5
You dropped your guy and took me on,5
And love with my head,5
Maybe the end is near,5
Everything gets fuzzy when you come around,5
When I'm alone with you,5
And I’m just saying,5
And its sharp teeth,5
To keep you here with me,5
"She wore a sweater, it was funeral grey",5
When no one's watching you,5
And when I'm swallowed down,5
"I'd say it's for you, yeah, yeah, yeah, oh, oh",5
"I'd say it's for you, yeah, yeah, yeah",5
A night out on Earth,5
You've got me feeling like a walking love song,4
And all I think about is where you might be,4
"This isn't all, this isn't all it's cracked up to",4
My favorite set of stairs is the one up to your room,4
I never wanted to be thinking this loud,4
You know I'll always be around,4
I could live on a life raft next to you,4
"Ooh, ohh, I'll see you in the future, yeah, yeah, yeah",4
Sticks and stones may break my bones but:,4
You fuck with my head,4
I think the blondes are done with fun,4
"And I'm crying over it all, yeah",4
It's been a pleasure,4
To sleep or dream,4
I want jet packs for all my friends,4
"Getting out, getting",4
"While you follow around, around round round round",4
I'm fucked and hope you're proud,4
"Hey, look what you've done now",4
I was just doing the sane thing,4
Let's keep each other safe from the world,4
I'm highkey and lowkey as hell,4
And I just need you to feel it too,4
I'm like American graffiti,4
The la-la-la-lobotomy,4
Should've could’ve been the one,4
To turn everything around,4
That’s why I’m here,4
"Till we’re gone, whoa, whoa, whoa",4
I'm sitting here delirious,4
It's nice to meet you,4
