track_name,element,album,lyrics,line
Silver,Chorus,Airplane Conversations,I’ll be the silver lining around your fence,1
Silver,Chorus,Airplane Conversations,Used to protect yourself from all the world,2
Silver,Chorus,Airplane Conversations,And its sharp teeth,3
Silver,Chorus,Airplane Conversations,'Cause my open hand and heart think you belong with me,4
Silver,Verse 1,Airplane Conversations,You’ll be wrapped around my fingertips,5
Silver,Verse 1,Airplane Conversations,But my paralysis is indefinite,6
Silver,Verse 1,Airplane Conversations,And my eyes are frozen for you,7
Silver,Chorus,Airplane Conversations,I’ll be the silver lining around your fence,8
Silver,Chorus,Airplane Conversations,Used to protect yourself from all the world,9
Silver,Chorus,Airplane Conversations,And its sharp teeth,10
Silver,Chorus,Airplane Conversations,'Cause my open hand and heart think you belong with me,11
Silver,Chorus,Airplane Conversations,I’ll be the silver lining around your fence,12
Silver,Chorus,Airplane Conversations,Used to protect yourself from all the world,13
Silver,Chorus,Airplane Conversations,And its sharp teeth,14
Silver,Chorus,Airplane Conversations,'Cause I am all for you,15
Silver,Verse 2,Airplane Conversations,I was the one who kept myself standing tall,16
Silver,Verse 2,Airplane Conversations,You were the light at the end of the hall,17
Silver,Verse 2,Airplane Conversations,I followed bright signals sent my way,18
Silver,Verse 2,Airplane Conversations,'Cause I’m steady day by day,19
Silver,Verse 2,Airplane Conversations,So now I’m swimming in slow seconds with you,20
Silver,Verse 2,Airplane Conversations,You might also like,21
Silver,Chorus,Airplane Conversations,I’ll be the silver lining around your fence,22
Silver,Chorus,Airplane Conversations,Used to protect yourself from all the world,23
Silver,Chorus,Airplane Conversations,And its sharp teeth,24
Silver,Chorus,Airplane Conversations,'Cause my open hand and heart think you belong with me,25
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting; still I’m fighting for you,26
Silver,Post-Chorus,Airplane Conversations,That’s what it comes down to,27
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting still I’m fighting for you,28
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting and I’ll just keep trying 'till it’s,29
Silver,Post-Chorus,Airplane Conversations,It's all about what can happen when you lose,30
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting; still I’m fighting for you,31
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,32
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,33
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,34
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,35
Silver,Bridge,Airplane Conversations,I’ll be your silver lining,36
Silver,Bridge,Airplane Conversations,I’ll be your silver lining,37
Silver,Bridge,Airplane Conversations,(It's all about what can happen when you lose),38
Silver,Chorus,Airplane Conversations,I’ll be the silver lining around your fence,39
Silver,Chorus,Airplane Conversations,Used to protect yourself from all the world,40
Silver,Chorus,Airplane Conversations,And its sharp teeth,41
Silver,Chorus,Airplane Conversations,'Cause my open hand and heart think you belong with me,42
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting; still I’m fighting for you,43
Silver,Post-Chorus,Airplane Conversations,That’s what it comes down to,44
Silver,Post-Chorus,Airplane Conversations,"Still I’m fighting, still I’m fighting for you",45
Silver,Post-Chorus,Airplane Conversations,Still I’m fighting and I’ll just keep trying ‘till it's,46
Silver,Post-Chorus,Airplane Conversations,It’s all about what can’t happen when you lose,47
Silver,Post-Chorus,Airplane Conversations,"Still I’m fighting, still I’m fighting for you",48
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,49
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,50
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,51
Silver,Post-Chorus,Airplane Conversations,I’m fighting for you,52
Bones of ’92,Chorus,Airplane Conversations,Simple steps are all it takes,1
Bones of ’92,Chorus,Airplane Conversations,But steps don’t erase mistakes,2
Bones of ’92,Chorus,Airplane Conversations,Hand it off to me,3
Bones of ’92,Chorus,Airplane Conversations,"‘Cause when you’re lost, you’re found; you’re gone",4
Bones of ’92,Verse 1,Airplane Conversations,Context clues don’t do much for you,5
Bones of ’92,Verse 1,Airplane Conversations,So I’ll leave them buried in the details,6
Bones of ’92,Verse 1,Airplane Conversations,"If anyone cares, I’m the voice of reason",7
Bones of ’92,Verse 1,Airplane Conversations,If I bottle up a monster,8
Bones of ’92,Verse 1,Airplane Conversations,"It only grows, grows, grows",9
Bones of ’92,Verse 1,Airplane Conversations,"Then why should I expect it gone 'fore I’m bones, bones, bones",10
Bones of ’92,Verse 1,Airplane Conversations,I’m bones,11
Bones of ’92,Chorus,Airplane Conversations,Simple steps are all it takes,12
Bones of ’92,Chorus,Airplane Conversations,But steps don’t erase mistakes,13
Bones of ’92,Chorus,Airplane Conversations,Hand it off to me,14
Bones of ’92,Chorus,Airplane Conversations,"‘Cause when you’re lost, you’re found; you’re gone",15
Bones of ’92,Chorus,Airplane Conversations,Simple steps are all it takes,16
Bones of ’92,Chorus,Airplane Conversations,But steps don’t erase mistakes,17
Bones of ’92,Chorus,Airplane Conversations,Hand it off to me,18
Bones of ’92,Chorus,Airplane Conversations,"‘Cause when you’re lost, you’re found; you’re gone",19
Bones of ’92,Chorus,Airplane Conversations,"(When you’re lost, you’re found; you’re gone",20
Bones of ’92,Chorus,Airplane Conversations,"When you’re lost, you’re found; you’re gone)",21
Bones of ’92,Chorus,Airplane Conversations,You might also like,22
Bones of ’92,Verse 2,Airplane Conversations,Context clues don’t do much for you,23
Bones of ’92,Verse 2,Airplane Conversations,So I’ll leave them buried in the details,24
Bones of ’92,Verse 2,Airplane Conversations,So kids like me can find them,25
Bones of ’92,Verse 2,Airplane Conversations,Men like me transcribe them,26
Bones of ’92,Verse 2,Airplane Conversations,Save your futures and save yourselves,27
Bones of ’92,Verse 2,Airplane Conversations,"From industrial, industry hells",28
Bones of ’92,Verse 2,Airplane Conversations,Mimicry is flattering,29
Bones of ’92,Verse 2,Airplane Conversations,But dangerous and matters to me,30
Bones of ’92,Chorus 2,Airplane Conversations,Simple steps are all it takes,31
